Date,Open,High,Low,Close
11/30/2023,"1.6583","1.6589","1.6447","1.6486"
11/29/2023,"1.6527","1.6605","1.6501","1.6578"
11/28/2023,"1.6580","1.6592","1.6509","1.6534"
11/27/2023,"1.6637","1.6667","1.6559","1.6581"
11/24/2023,"1.6631","1.6639","1.6599","1.6615"
11/23/2023,"1.6642","1.6652","1.6598","1.6632"
11/22/2023,"1.6643","1.6701","1.6598","1.6644"
11/21/2023,"1.6685","1.6698","1.6623","1.6644"
11/20/2023,"1.6766","1.6788","1.6647","1.6686"
11/17/2023,"1.6774","1.6802","1.6687","1.6750"
11/16/2023,"1.6656","1.6802","1.6645","1.6770"
11/15/2023,"1.6727","1.6767","1.6632","1.6666"
11/14/2023,"1.6756","1.6850","1.6709","1.6718"
11/13/2023,"1.6857","1.6857","1.6739","1.6778"
11/10/2023,"1.6754","1.6839","1.6740","1.6802"
11/09/2023,"1.6731","1.6764","1.6667","1.6764"
11/08/2023,"1.6630","1.6736","1.6568","1.6729"
11/07/2023,"1.6516","1.6670","1.6477","1.6627"
11/06/2023,"1.6482","1.6547","1.6452","1.6515"
11/03/2023,"1.6510","1.6538","1.6465","1.6476"
11/02/2023,"1.6534","1.6569","1.6456","1.6509"
11/01/2023,"1.6688","1.6726","1.6503","1.6533"
10/31/2023,"1.6658","1.6760","1.6647","1.6690"
