Date,Open,High,Low,Close
11/30/2023,"1.4901","1.4925","1.4758","1.4765"
11/29/2023,"1.4920","1.4932","1.4893","1.4906"
11/28/2023,"1.4915","1.4947","1.4868","1.4919"
11/27/2023,"1.4942","1.4957","1.4899","1.4914"
11/24/2023,"1.4934","1.4954","1.4868","1.4954"
11/23/2023,"1.4914","1.4952","1.4895","1.4936"
11/22/2023,"1.4962","1.4987","1.4901","1.4904"
11/21/2023,"1.5016","1.5045","1.4932","1.4949"
11/20/2023,"1.4970","1.5040","1.4952","1.5017"
11/17/2023,"1.4926","1.5017","1.4893","1.4978"
11/16/2023,"1.4840","1.4980","1.4829","1.4927"
11/15/2023,"1.4890","1.4908","1.4810","1.4841"
11/14/2023,"1.4767","1.4913","1.4757","1.4896"
11/13/2023,"1.4745","1.4774","1.4730","1.4770"
11/10/2023,"1.4733","1.4784","1.4708","1.4751"
11/09/2023,"1.4770","1.4777","1.4721","1.4730"
11/08/2023,"1.4732","1.4792","1.4693","1.4771"
11/07/2023,"1.4684","1.4732","1.4663","1.4731"
11/06/2023,"1.4672","1.4700","1.4644","1.4683"
11/03/2023,"1.4596","1.4692","1.4588","1.4654"
11/02/2023,"1.4647","1.4721","1.4587","1.4592"
11/01/2023,"1.4669","1.4683","1.4601","1.4646"
10/31/2023,"1.4678","1.4749","1.4662","1.4674"
