Date,Open,High,Low,Close
11/30/2023,"0.3384","0.3388","0.3360","0.3363"
11/29/2023,"0.3390","0.3396","0.3380","0.3383"
11/28/2023,"0.3379","0.3395","0.3371","0.3391"
11/27/2023,"0.3375","0.3381","0.3369","0.3378"
11/24/2023,"0.3364","0.3376","0.3357","0.3374"
11/23/2023,"0.3356","0.3368","0.3354","0.3363"
11/22/2023,"0.3363","0.3366","0.3345","0.3357"
11/21/2023,"0.3372","0.3381","0.3358","0.3362"
11/20/2023,"0.3366","0.3376","0.3360","0.3371"
11/17/2023,"0.3349","0.3366","0.3339","0.3366"
11/16/2023,"0.3349","0.3361","0.3340","0.3348"
11/15/2023,"0.3353","0.3357","0.3341","0.3348"
11/14/2023,"0.3303","0.3358","0.3301","0.3354"
11/13/2023,"0.3308","0.3308","0.3293","0.3304"
11/10/2023,"0.3296","0.3303","0.3293","0.3299"
11/09/2023,"0.3308","0.3313","0.3294","0.3297"
11/08/2023,"0.3304","0.3311","0.3292","0.3309"
11/07/2023,"0.3310","0.3313","0.3292","0.3303"
11/06/2023,"0.3311","0.3321","0.3308","0.3308"
11/03/2023,"0.3282","0.3318","0.3280","0.3310"
11/02/2023,"0.3269","0.3296","0.3267","0.3283"
11/01/2023,"0.3272","0.3276","0.3252","0.3268"
10/31/2023,"0.3282","0.3300","0.3265","0.3274"
