Date,Open,High,Low,Close
11/30/2023,"97.31","98.32","96.09","97.96"
11/29/2023,"97.70","98.18","96.81","97.30"
11/28/2023,"97.57","98.58","96.65","97.71"
11/27/2023,"97.77","97.80","96.44","97.59"
11/24/2023,"96.60","98.05","96.17","97.74"
11/23/2023,"96.26","97.37","95.15","96.61"
11/22/2023,"96.30","96.47","95.52","96.27"
11/21/2023,"96.89","97.14","95.06","96.28"
11/20/2023,"97.98","98.35","94.89","96.87"
11/17/2023,"96.99","98.22","95.60","97.96"
11/16/2023,"97.05","97.28","95.81","96.97"
11/15/2023,"98.49","99.27","95.88","97.05"
11/14/2023,"98.34","98.57","97.19","98.50"
11/13/2023,"98.90","98.90","97.61","98.34"
11/10/2023,"97.80","98.76","97.75","98.60"
11/09/2023,"98.38","98.89","97.78","97.82"
11/08/2023,"98.57","98.78","98.01","98.39"
11/07/2023,"99.32","99.52","98.02","98.55"
11/06/2023,"99.66","99.66","98.66","99.30"
11/03/2023,"99.08","99.71","97.87","99.63"
11/02/2023,"97.88","99.98","97.56","99.09"
11/01/2023,"98.99","99.09","97.09","97.89"
10/31/2023,"98.25","99.37","97.23","99.01"
