Date,Open,High,Low,Close
11/30/2023,"1.4626","1.4636","1.4542","1.4559"
11/29/2023,"1.4637","1.4646","1.4611","1.4623"
11/28/2023,"1.4643","1.4658","1.4615","1.4635"
11/27/2023,"1.4678","1.4678","1.4620","1.4646"
11/24/2023,"1.4618","1.4671","1.4607","1.4670"
11/23/2023,"1.4615","1.4641","1.4604","1.4623"
11/22/2023,"1.4600","1.4639","1.4368","1.4566"
11/21/2023,"1.4642","1.4658","1.4591","1.4604"
11/20/2023,"1.4677","1.4683","1.4630","1.4639"
11/17/2023,"1.4626","1.4685","1.4590","1.4669"
11/16/2023,"1.4642","1.4882","1.4613","1.4623"
11/15/2023,"1.4677","1.4701","1.4628","1.4652"
11/14/2023,"1.4542","1.4682","1.4533","1.4672"
11/13/2023,"1.4585","1.4585","1.4514","1.4541"
11/10/2023,"1.4517","1.4541","1.4504","1.4535"
11/09/2023,"1.4528","1.4550","1.4507","1.4515"
11/08/2023,"1.4493","1.4534","1.4457","1.4529"
11/07/2023,"1.4481","1.4502","1.4463","1.4491"
11/06/2023,"1.4515","1.4545","1.4475","1.4478"
11/03/2023,"1.4500","1.4545","1.4470","1.4537"
11/02/2023,"1.4459","1.4530","1.4457","1.4499"
11/01/2023,"1.4484","1.4502","1.4431","1.4462"
10/31/2023,"1.4485","1.4573","1.4465","1.4489"
