Date,Open,High,Low,Close
11.27,"1.0951","1.0962","1.0926","1.0954"
11.24,"1.0907","1.0987","1.0895","1.0948"
11.23,"1.0889","1.0929","1.0885","1.0908"
11.22,"1.0911","1.0925","1.0853","1.0891"
11.21,"1.0941","1.0968","1.0901","1.0913"
11.20,"1.0920","1.0954","1.0898","1.0940"
11.17,"1.0859","1.0917","1.0825","1.0917"
11.16,"1.0853","1.0897","1.0830","1.0853"
11.15,"1.0882","1.0887","1.0832","1.0848"
11.14,"1.0701","1.0889","1.0693","1.0880"
11.13,"1.0718","1.0718","1.0666","1.0698"
11.10,"1.0669","1.0695","1.0657","1.0686"
11.09,"1.0711","1.0728","1.0661","1.0671"
11.08,"1.0703","1.0718","1.0660","1.0712"
11.07,"1.0717","1.0727","1.0665","1.0701"
11.06,"1.0734","1.0759","1.0716","1.0720"
11.03,"1.0623","1.0748","1.0615","1.0732"
11.02,"1.0571","1.0669","1.0568","1.0622"
11.01,"1.0576","1.0582","1.0519","1.0570"
10.31,"1.0616","1.0675","1.0558","1.0578"
10.30,"1.0566","1.0627","1.0548","1.0617"
